Name,Address,Neighborhood,Nearest Airport,Size,Room Style,Vibe,Icon Tags,Description,Insider Tip,Virtuoso Traveler Receives,At the Hotel,Reviews
Abercrombie & Kent Villas,"St George&#x27;s House, Ambrose Street, Gloucestershire, Cheltenham, United Kingdom",,,,,,"Local Immersion, Seclusion, Beach","From chic beach retreats to countryside manors, Abercrombie & Kent has handpicked the best stays in idyllic locations. You can choose from a waterfront break away or a celebrity-worthy hideaway. Reserve a Scottish golf retreat for 10 near historic St Andrews or host next year’s family reunion at a magnificent 12-bedroom estate in the Caribbean. The best part is that every villa comes with its own concierge to orchestrate sightseeing tours to yacht rentals and booking the best table in your local Michelin-starred restaurant.",,,,{}
Acqualina Resort & Residences on the Beach,"17875 Collins Ave, Miami Beach, Florida, United States",,,,,,"City Life, Beach, Wellness","Acqualina Resort & Residences is an award-winning Forbes Five Star, AAA Five Diamond property situated on 400 feet of pristine white sands. The resort’s unobstructed views create a unique, sea-level experience as the lush green gardens effortlessly succumb to the sand. Here, guests enjoy expansive amenities, including three oceanfront swimming pools; four restaurants, including the new Avra Miami and Il Mulino New York; a tranquil spa; and a marine-biology-inspired kids’ program.",,,,{}
Adare Manor,"Adare Village, Limerick, Ireland",,Shannon (SNN) - 11 mi/18 km,103 rooms,Classic,Sophisticated,"Seclusion, Golf, Wellness","Adare Manor is a five-star luxury resort defined by its spectacular setting, authentic historic character and the impeccable service and welcome of its world-class team. The 103 guest rooms are air-conditioned and lavishly appointed with original art, Georgian-style furnishings and marble bathrooms. For fine dining, visit The Carriage House for cocktails and classic Irish cuisine or Michelin-star Oak Room restaurant with renowned chef Michael Tweedie. Get out on the greens at the pristine golf course, redesigned by Tom Fazio and the forthcoming host venue for the 2027 Ryder Cup, or experience our new resort wellness facility, the Padel Club.","Don't miss the charming tea service – without a doubt, the best in Ireland. 
–Pat Horvath
La Jolla, California","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full Breakfast for up to two guests per bedroom
- Complimentary Afternoon Tea for up to two guests per bedroom, once during their stay, served in the Gallery (must have minimum value of $100 USD equivalent)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Complimentary Parking
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Michelin Star Restaurant
- Multi-lingual Staff
- Parking
- Restaurant
- Shopping
- Wheelchair Accessible
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Horseback Riding
- Pool
- Sauna
- Spa
Services
- Babysitting Services
- Concierge Desk
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Salon
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Address Downtown,"Emaar Boulevard, Downtown Dubai, P. O. Box 123234, Dubai, United Arab Emirates",,Dubai (DXB) - 1 mi/2 km,220 rooms,Contemporary,Sophisticated,"Landmarks, City Life, Wellness","Discover Dubai from the award-winning Address Downtown – set, as you might expect, at the city’s epicenter, before the magnificent Burj Khalifa and next to the Dubai Mall. This flagship hotel offers a bevy of refined amenities: innovative restaurants, a full-service spa, in-the-know concierge service, limousine transportation within the city, and a five-tier swimming pool. Check out The Restaurant, known for its signature home-away-from-home dining experience, and the famous Zeta restaurant, offering Asian-Californian fusion cuisine. NEOS Bar and Lounge on the 63rd floor has the city’s best Dubai Fountain and Burj Khalifa views.","Don't overlook The Spa at Address Downtown – treatments incorporate innovative technology, such as the Oxygen Facial by Linda Meredith.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full breakfast for up to two guests per bedroom, served in the restaurant
- Complimentary lunch or dinner for up to two guests per bedroom, once during stay, excluding alcohol, taxes and gratuities (minimum 3-courses & value of $100USD)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Banquet Facilities
- Business Center
- Children's Programs
- Club Floor
- Conference Facilities
- Internet Access
- Multi-lingual Staff
- Nightclub
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Mini Bar
Recreation
- Fitness Center
- Pool
- Spa
Services
- Babysitting Services
- Concierge Desk
- House Safe
- Room Service
- Room Service 24-hours
- Salon
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Aghadoe Heights Hotel and Spa,"Aghadoe,, Lakes of Killarney, Killarney, Ireland",Lakes of Killarney,Kerry (KIR) - 7 mi/11 km,74 rooms,Contemporary,Sophisticated,"Wellness, Local Immersion, Golf","Spa lovers descend in droves upon its renowned spa, yet the Aghadoe Heights Hotel & Spa maintains a discreet and exclusive atmosphere. With the warmth of a country house and the creature comforts of a five-star resort, the estate exudes the hospitality and magic of the Killarney countryside. Opt for a luscious Lake View Studio Suite or Deluxe Lake View for views of the famous Lakes of Killarney, as well as the most comfortable six-and-a-half-foot, custom-made beds. Of course, you'll want to visit the spa. Try the exclusive precious stone therapy – this total relaxation experience will rebalance your body, mind, and spirit.","The stunning 3,000-square-foot, two-bedroom penthouse offers an open fireplace, a private terrace hot tub, Guinness on tap, and much more.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full Breakfast for up to two guests per bedroom
- $100 USD equivalent Food & Beverage credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out where available
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- Banquet Facilities
- Business Center
- Complimentary Parking
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Hair Dryer
- Iron/Ironing Board
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
- Tennis Courts
Services
- Complimentary Airport Transfers
- Concierge Desk
- House Safe
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Salon
- Turndown Service
- Wakeup Calls
",{}
"Airelles Chateau de Versailles, Le Grand Controle","Le Grand Contr&#xF4;le, 12 rue de l&#x2019;Ind&#xE9;pendance Am&#xE9;ricaine, Versailles, France",,Paris Airport (PAR) - 10 mi/16 km,13 rooms,Classic,Sophisticated,"Landmarks, Local Immersion, Seclusion","With its famous address, late eighteenth-century Marie Antoinette vibes, and personal butler service, Airelles Château de Versailles gives you a taste of French royalty life. In addition to 13 period-appropriate suites (think chevron parquet flooring and clawfoot tubs), the hotel features a restaurant where you can indulge in feasts fit for a king, plus a spa – complete with pool, sauna, and hammam – adorned with statues and hand-painted frescoes.",The pièce de résistance? Guests can take advantage of exclusive behind-the-scenes tours of the Palace of Versailles before- and after-hours.,"Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Breakfast for up to two guests per bedroom (already included in property rates)
- $100 USD equivalent Food & Beverage credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Children's Programs
- Complimentary Parking
- Connecting Rooms
- Internet Access
- Library
- Lounge/Bar
- Meal Plans Available
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Horseback Riding
- Pool
- Sauna
- Spa
Services
- Babysitting Services
- Currency Exchange
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service
- Room Service 24-hours
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '19 Oct 2023', 'headline': 'Versailles', 'reviewer_name': 'By: Bobby', 'review_content': 'In the shadow of the greatest palace in Europe, this gem is a top notch hotel.'}, {'recommended': True, 'review_date': '15 Oct 2023', 'headline': 'Airelles Chateau de Versailles', 'reviewer_name': 'By: LCF', 'review_content': ""It's one of the most special hotels I have ever visited. The service and attention to detail were exceptional.""}, {'recommended': True, 'review_date': '09 Jun 2023', 'headline': 'Le Grande Controle', 'reviewer_name': 'By: Tim', 'review_content': 'Absolutely incredible experience. Delicious food and impeccable service from all of the staff, especially from our butler Charles. The private tour of the palace and Marie Antoinette’s apartment truly was private. Our group was 10 people in total and the pictures we were able to take in the hall of mirrors looked like they came from a magazine. Truly a 5 star experience.'}, {'recommended': True, 'review_date': '14 Feb 2023', 'headline': 'Hell of a Place!', 'reviewer_name': 'By: Donna', 'review_content': 'The accommodation, the gourmet food and service, combined with the palace itself makes for a pretty incredible experience....We highly recommend!!'}]}"
"Airelles Courchevel, Les Airelles","Le Jardin Alpin, Courchevel, France",,,,,,"Adventure, Wellness, Ski","In the heart of Jardin Alpin, the most elegant district of Courchevel 1850, Airelles Courchevel, Les Airelles offers a timeless experience. On the slopes, the ski experience is enhanced by the attention and care provided by Les Airelles’ dedicated team. An Austro-Hungarian castle spirit meets the chalet style, promising mountain lovers an unbeatable alpine experience. The beauty of the hotel’s pastel-hued frescoes, the diversity of stained-glass windows, and the refinement of its materials give the property an inimitable style that the elite crave. Les Airelles is the icon of French alpine luxury, where every single wish comes true.",,,,{}
"Airelles Gordes, La Bastide","61 Rue de la combe, Gordes, France",,Marseille Provence Airport (MRS) - 32 mi/51 km,41 rooms,Classic,Casual,"Landmarks, Local Immersion, Wellness","In the very heart of Gordes, in a village suspended between the sky and the lavender fields, set atop a rocky outcrop, the stately and elegant Airelles Gordes, La Bastide offers panoramic views over the unique Luberon valley. With its sumptuous decor and its 2,000 artworks in the 34 rooms and six suites, this ancestral residence reflects the 18th century in all its glory and invites guests to travel in time. Carved into the rock, Le Spa Airelles is an invitation to focus on inner well-being. Away from the heat, the spa enables guests to savor an organic form of happiness. La Bastide de Gordes is a destination in and of itself.","The Abbaye Notre-Dame de Sénanque, a Cistercian abbey, is one of the best places to see Provence's famed lavender fields. Founded in 1148, the abbey welcomes visitors and provides overnight retreats.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom, served in the restaurant and via in-room dining (already included in property rates)
- $100 USD equivalent Food & Beverage to be credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- Air Conditioning
- Banquet Facilities
- Children's Programs
- Conference Facilities
- Connecting Rooms
- Internet Access
- Library
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Restaurant
- Villas
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Newspaper
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Pool
- Sauna
- Spa
Services
- Babysitting Services
- Car Rental Desk
- Complimentary Airport Transfers
- Concierge Desk
- Currency Exchange
- House Safe
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
",{}
"Airelles, Val d'Isere","Rue des Leiss&#xE8;res, Val-d&#x27;isere, France",,,,,,"Wellness, Ski, Adventure","Located in the heart of Val d'Isère, on the Place de Neige, Airelles Val d'Isère is an authentic and refined Maison. The hotel features 41 keys including 30 Suites and 5 Apartments. Experience the mountains in a new way thanks to the many services offered. With 3 restaurants and bars, enjoy a varied culinary escapade throughout your stay. Boasting a Guerlain Spa with swimming pool, a Children's Kingdom, a ski lounge and boutiques, our winter home is a privileged address for unforgettable moments of conviviality.",,,,{}
Albany,"South Ocean Boulevard, New Providence, Bahamas",,Nassau International Airport (NAS) - 3 mi/5 km,80 rooms,Eclectic,Casual,"Golf, Beach, Wellness","Modern island life meets paradise at the resort community of Albany and its 600 oceanside acres on New Providence, The Bahamas, offering luxury accommodations from 2-to-7-bedroom private residences along the beach, golf course and marina. Albany features an unparalleled combination of surroundings, architecture, amenities, and service. Fitness buffs find a dedicated fitness complex with spinning, yoga, and Pilates studios. Riders of all levels can take part in equestrian programs, and when it’s time to relax, enjoy the numerous pools, holistic spa and wellness center, 18-seat cinema, a variety of beachside dining venues, pools and shoppes.","Albany isn’t just for big kids: Keep toddlers to teens entertained with the children’s clubhouse, themed camps, organized outings, babysitting services and more.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom
- $100 USD equivalent Resort  or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Children's Programs
- Conference Facilities
- Internet Access
- Lounge/Bar
- Parking
- Restaurant
- Shopping
- Villas
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Horseback Riding
- Pool
- Sauna
- Spa
- Tennis Courts
- Water Sports
Services
- Babysitting Services
- Concierge Desk
- Housekeeping -- Twice Daily
- Salon
- Turndown Service
- Wakeup Calls
",{}
Alila Marea Beach Resort,"2100 N Coast Hwy 101, Encinitas, California, United States",,,,,,"Wellness, Beach, Local Immersion","Perched on a dramatic bluff above the Pacific, Alila Marea Beach Resort embodies the essence of SoCal culture. Settle into one of the 130 guestrooms or spacious suites decorated in neutral tones and natural fabrics. Dine on modern coastal cuisine at VAGA Restaurant & Bar or grab a quick bite at Coffee Box on your way to the day’s surfing, biking, or sightseeing adventures. Discover your inner zen in the spa, featuring all-natural, ocean-inspired treatments.",,,,{}
Alila Napa Valley,"1915 Main St, Saint Helena, California, United States",,,,,,"City Life, Seclusion, Local Immersion","In the heart of California wine country, worlds converge at Alila Napa Valley, an intimate adults-only retreat. Modern meets traditional in luxurious accommodations impeccably designed with custom Italian furnishings, opulent spa-like bathrooms, and private gas fire pits for every guestroom. Town greets country where the vines of the historic Beringer estate are at your fingertips and charming downtown St. Helena is within footsteps. And local begets legendary at the acclaimed Spa Alila and Acacia House restaurant, serving contemporary American cuisine in an antique farmhouse.",,,,{}
